exercice;loi;typeBudget;ministere;mission;programme;action;sous-action;categorie;titre;ae;cp
2023.0;PLF;BG;7.0;DB;134.0;134-24;;64.0;6.0;5885369.0;5885369.0
2023.0;PLF;BG;10.0;JA;166.0;166-08;;22.0;2.0;5910476.0;5910476.0
2023.0;PLF;BG;70.0;DA;146.0;;146-10-74;51.0;5.0;49077270.0;23800657.0
2023.0;PLF;BG;43.0;TA;345.0;;345-15-01;62.0;6.0;72364658.0;72364658.0
2023.0;PLF;BG;23.0;VA;109.0;109-02;;64.0;6.0;9300000.0;9300000.0
2023.0;PLF;BG;70.0;MB;169.0;;169-02-21;61.0;6.0;32900000.0;32900000.0
2023.0;PLF;BG;12.0;CA;165.0;165-06;;22.0;2.0;16828560.0;16828560.0
2023.0;PLF;BG;23.0;TA;181.0;181-09;;64.0;6.0;1400000.0;1400000.0
2023.0;PLF;BG;70.0;DA;212.0;212-65;;21.0;2.0;67484313.0;67484313.0
2023.0;PLF;BG;12.0;CA;164.0;164-27;;22.0;2.0;10744619.0;10744619.0
2023.0;PLF;BG;2.0;CB;175.0;175-03;;31.0;3.0;12874492.0;15774492.0
2023.0;PLF;CCF;7.0;ZE;853.0;853-01;;71.0;7.0;0.0;150000000.0
2023.0;PLF;BG;7.0;AD;110.0;110-01;;73.0;7.0;580000000.0;1149788298.0
2023.0;PLF;BG;1.0;AA;185.0;185-04;;64.0;6.0;23446156.0;23446156.0
2023.0;PLF;BG;6.0;EC;140.0;140-06;;23.0;2.0;7211700.0;7211700.0
2023.0;PLF;BG;70.0;DA;178.0;;178-04-06;51.0;5.0;98978364.0;85432762.0
2023.0;PLF;BG;23.0;TA;217.0;217-26;;22.0;2.0;434925.0;434925.0
2023.0;PLF;BG;12.0;CA;164.0;164-24;;21.0;2.0;25892853.0;25892853.0
2023.0;PLF;BG;1.0;AA;185.0;185-04;;31.0;3.0;5235644.0;5235644.0
2023.0;PLF;BG;70.0;DA;178.0;;178-04-02;31.0;3.0;18753482.0;19149734.0
2023.0;PLF;BA;12.0;XJ;623.0;623-01;;31.0;3.0;23709441.0;23125952.0
2023.0;PLF;BG;6.0;EC;141.0;141-04;;63.0;6.0;623513.0;623513.0
2023.0;PLF;BG;38.0;RA;172.0;172-01;;32.0;3.0;124785028.0;124785028.0
2023.0;PLF;BG;6.0;EC;139.0;139-06;;21.0;2.0;214130956.0;214130956.0
2023.0;PLF;BG;10.0;JA;310.0;310-04;;51.0;5.0;57174379.0;14019217.0
2023.0;PLF;BG;6.0;EC;139.0;139-05;;21.0;2.0;637052337.0;637052337.0
2023.0;PLF;BG;12.0;DC;129.0;129-02;;51.0;5.0;138807473.0;117542646.0
2023.0;PLF;BG;12.0;RB;197.0;197-01;;32.0;3.0;10195065.0;10195065.0
2023.0;PLF;CCF;7.0;ZC;832.0;832-01;;71.0;7.0;6000000.0;6000000.0
2023.0;PLF;BG;6.0;EC;141.0;141-09;;64.0;6.0;3700000.0;3700000.0
2023.0;PLF;BG;6.0;EC;139.0;139-10;;22.0;2.0;31982886.0;31982886.0
2023.0;PLF;BG;35.0;SA;204.0;204-15;;62.0;6.0;1220000.0;1220000.0
2023.0;PLF;BG;70.0;DA;212.0;212-10;;62.0;6.0;2201477.0;3000211.0
2023.0;PLF;BG;36.0;TB;155.0;155-13;;53.0;5.0;1249507.0;1103440.0
2023.0;PLF;BG;6.0;EC;140.0;140-05;;21.0;2.0;1183949113.0;1183949113.0
2023.0;PLF;BG;2.0;CB;131.0;131-01;;62.0;6.0;102813340.0;103935233.0
2023.0;PLF;BG;70.0;DA;212.0;;212-08-01;61.0;6.0;220000.0;220000.0
2023.0;PLF;BG;3.0;RA;142.0;142-01;;22.0;2.0;101858379.0;101858379.0
2023.0;PLF;CAS;7.0;YB;723.0;723-12;;51.0;5.0;1000000.0;1000000.0
2023.0;PLF;BG;6.0;SF;163.0;163-01;;64.0;6.0;51128009.0;51128009.0
2023.0;PLF;BG;1.0;AD;209.0;209-08;;21.0;2.0;131298056.0;131298056.0
2023.0;PLF;CAS;7.0;YE;755.0;755-01;;31.0;3.0;618165071.0;618165071.0
2023.0;PLF;BG;7.0;RA;193.0;193-01;;64.0;6.0;163842827.0;163842827.0
2023.0;PLF;BG;12.0;VA;162.0;162-09;;63.0;6.0;4300000.0;2426794.0
2023.0;PLF;BG;7.0;EB;117.0;117-01;;41.0;4.0;49957000000.0;49957000000.0
2023.0;PLF;BG;7.0;DB;134.0;134-23;;62.0;6.0;868866216.0;870866216.0
2023.0;PLF;BG;23.0;TA;181.0;181-11;;32.0;3.0;30706074.0;30706074.0
2023.0;PLF;BG;6.0;EC;141.0;141-01;;23.0;2.0;81284515.0;81284515.0
2023.0;PLF;BG;7.0;RD;200.0;;200-11-03;61.0;6.0;5000000.0;5000000.0
2023.0;PLF;BG;70.0;DA;212.0;;212-61-01;22.0;2.0;30470022.0;30470022.0
2023.0;PLF;BG;56.0;SE;124.0;124-21;;22.0;2.0;21573133.0;21573133.0
2023.0;PLF;BG;38.0;RA;150.0;150-01;;21.0;2.0;27438996.0;27438996.0
2023.0;PLF;BG;10.0;JA;310.0;310-01;;64.0;6.0;410000.0;410000.0
2023.0;PLF;BG;3.0;AC;149.0;149-26;;32.0;3.0;196199122.0;196199122.0
2023.0;PLF;BG;70.0;DA;146.0;;146-10-76;31.0;3.0;41200000.0;85488724.0
2023.0;PLF;BG;7.0;RD;200.0;;200-11-02;62.0;6.0;67224374638.0;67224374638.0
2023.0;PLF;BG;6.0;EC;230.0;230-01;;31.0;3.0;19922099.0;19922099.0
2023.0;PLF;BG;9.0;AB;216.0;216-08;;23.0;2.0;116942.0;116942.0
2023.0;PLF;CCF;7.0;ZC;833.0;833-01;;71.0;7.0;118206667516.0;118206667516.0
2023.0;PLF;BG;9.0;SB;207.0;207-01;;62.0;6.0;1167204.0;1167204.0
2023.0;PLF;BG;36.0;TB;111.0;111-02;;64.0;6.0;16978142.0;16978142.0
2023.0;PLF;BG;12.0;CA;164.0;164-28;;23.0;2.0;7376.0;7376.0
2023.0;PLF;BG;70.0;DA;212.0;;212-67-06;21.0;2.0;2991558.0;2991558.0
2023.0;PLF;BG;70.0;DA;146.0;;146-07-37;51.0;5.0;221500000.0;81828059.0
2023.0;PLF;BG;23.0;TA;181.0;181-14;;31.0;3.0;17550000.0;18000000.0
2023.0;PLF;BG;70.0;DA;146.0;;146-10-88;31.0;3.0;177151.0;62321.0
2023.0;PLF;BG;9.0;SB;176.0;;176-06-03;72.0;7.0;2150000.0;2150000.0
2023.0;PLF;BG;7.0;RA;193.0;193-02;;64.0;6.0;163842827.0;163842827.0
2023.0;PLF;BG;36.0;TB;155.0;155-18;;23.0;2.0;1046467.0;1046467.0
2023.0;PLF;BG;12.0;DC;129.0;129-10;;51.0;5.0;8057122.0;4453404.0
2023.0;PLF;CAS;3.0;YF;775.0;775-02;;31.0;3.0;74400.0;74400.0
2023.0;PLF;BG;23.0;VA;135.0;135-01;;62.0;6.0;35000000.0;10000000.0
2023.0;PLF;BG;9.0;OA;123.0;123-02;;62.0;6.0;1800000.0;1800000.0
2023.0;PLF;BG;9.0;OA;123.0;123-01;;63.0;6.0;36015095.0;27256290.0
2023.0;PLF;BG;3.0;AC;149.0;149-26;;64.0;6.0;7842865.0;7873883.0
2023.0;PLF;BG;12.0;DC;308.0;308-10;;52.0;5.0;850000.0;850000.0
2023.0;PLF;BG;7.0;GA;218.0;218-02;;31.0;3.0;23013962.0;23126201.0
2023.0;PLF;BG;70.0;DA;178.0;;178-01-11;51.0;5.0;10201000.0;9885816.0
2023.0;PLF;BG;9.0;SB;207.0;207-01;;64.0;6.0;832796.0;832796.0
2023.0;PLF;BG;7.0;GA;218.0;218-07;;21.0;2.0;42078492.0;42078492.0
2023.0;PLF;BG;12.0;CA;164.0;164-23;;21.0;2.0;44752298.0;44752298.0
2023.0;PLF;BG;1.0;AA;105.0;105-01;;61.0;6.0;4527517.0;4527517.0
2023.0;PLF;BG;23.0;TA;217.0;217-23;;22.0;2.0;24344135.0;24344135.0
2023.0;PLF;CAS;9.0;YE;751.0;751-04;;51.0;5.0;13450000.0;13450000.0
2023.0;PLF;BG;1.0;AA;105.0;105-02;;23.0;2.0;71205.0;71205.0
2023.0;PLF;BG;43.0;TA;174.0;174-05;;62.0;6.0;280000.0;280000.0
2023.0;PLF;BG;7.0;GA;218.0;218-07;;51.0;5.0;14945015.0;14224921.0
2023.0;PLF;BG;12.0;CA;164.0;164-26;;21.0;2.0;3472743.0;3472743.0
2023.0;PLF;BG;23.0;TA;203.0;203-44;;62.0;6.0;18000000.0;251824236.0
2023.0;PLF;BG;38.0;RA;172.0;172-18;;32.0;3.0;1143757385.0;1143757385.0
2023.0;PLF;BG;23.0;TA;217.0;217-15;;22.0;2.0;252814399.0;252814399.0
2023.0;PLF;BG;12.0;DC;129.0;129-11;;23.0;2.0;192215.0;192215.0
2023.0;PLF;BG;70.0;MB;169.0;;169-02-23;61.0;6.0;71830010.0;71830010.0
2023.0;PLF;BG;43.0;TA;174.0;174-04;;62.0;6.0;26000000.0;26000000.0
