Catégorie;Sous catégorie;Sous sous catégorie;Numéro;Libellé législatif;Information complémentaire
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120124;Exonération totale ou partielle des sommes versées aux salariés détachés à l'étranger;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120126;Exonération de la retraite du combattant, des pensions militaires d'invalidité, des retraites mutuelles servies aux anciens combattants et aux victimes de guerre, de l'allocation de reconnaissance servie aux anciens membres des formations supplétives de l'armée française en Algérie (harkis) et à leurs veuves ainsi que de l'allocation viagère servie aux conjoints et ex-conjoints, survivants de harkis, moghaznis et personnels des autres formations supplétives de statut civil de droit local ayant servi en Algérie qui ont fixé leur domicile en France;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120127;Exonération des indemnités versées aux réservistes en période d'instruction, aux personnes accomplissant un service civique ou une autre forme de volontariat;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120128;Exonération de la rente viagère lorsqu'un PEA ou un PEP se dénoue après 8 ans;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120129;Exonération de l'aide financière versée par l'Etat aux créateurs ou repreneurs d'entreprises (art. L. 5141-2 du code du travail);
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120131;Exonération temporaire des suppléments de rémunération versés aux salariés et mandataires sociaux au titre de l'exercice d'une activité professionnelle en France (primes d'impatriation), de la fraction de leur rémunération correspondant à l'activité exercée à l'étranger et de la rémunération des salariés et dirigeants de la Chambre de commerce internationale;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120132;Exonération d'impôt sur le revenu (sur option) des salaires perçus par les jeunes au titre d'une activité exercée pendant leurs études secondaires ou supérieures ou leurs congés scolaires ou universitaires;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120133;Exonération des indemnités versées aux victimes de l'amiante;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120134;Exonération de l'aide financière versée par l'employeur ou par le comité d'entreprise en faveur des salariés afin de financer des services à la personne;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120137;Exonération d'impôt sur le revenu de l'avantage correspondant à la remise gratuite par l'employeur aux salariés de matériels informatiques (et logiciels liés) entièrement amortis, dans la limite d'un prix de revient global annuel de 2 000 €;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120138;Exonération sous plafond des indemnités reçues par les salariés en cas de rupture conventionnelle du contrat de travail (ou dispositifs assimilés);
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120139;Exonération des sommes correspondant à des jours de congés non-pris ou prélevées sur un compte épargne-temps (CET) pour alimenter un PERCO, dans la limite de dix jours par an;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120140;Exonération du pécule modulable d'incitation au départ des militaires;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120141;Exonération de l'indemnité de départ volontaire versée dans le cadre d'une restructuration ou d'une réorganisation du ministère de la défense;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120142;"Exonération de la prise en charge directe à titre de pensions alimentaires des dépenses d'hospitalisation ou d'hébergement en établissement : - des ascendants privés de ressources suffisantes par leurs enfants ou petits-enfants ; - des enfants majeurs infirmes dénués de ressources par leurs parents";
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120143;Exonération des indemnités versées aux victimes des essais nucléaires français et à leurs ayants-droit;
