PHASE;Type de Budget;Code Ministère;Ministère;Code Mission;Mission;Code Programme;Programme;T2 AE=CP  PLF 2019;ETPT PLF 2019
PLF 2019;Budget général;MIN12;Services du Premier ministre;CA;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;195 078 041;1 840
PLF 2019;Budget général;MIN12;Services du Premier ministre;CA;Conseil et contrôle de l'État;340;Haut Conseil des finances publiques;378 189;3
PLF 2019;Budget général;MIN12;Services du Premier ministre;DC;Direction de l'action du Gouvernement;129;Coordination du travail gouvernemental;245 462 193;2 964
PLF 2019;Budget général;MIN12;Services du Premier ministre;DC;Direction de l'action du Gouvernement;308;Protection des droits et libertés;45 927 230;573
PLF 2019;Budget général;MIN12;Services du Premier ministre;DC;Direction de l'action du Gouvernement;333;Moyens mutualisés des administrations déconcentrées;182 690 065;2 005
PLF 2019;Budget général;MIN12;Services du Premier ministre;AV;Investissements d'avenir;421;Soutien des progrès de l'enseignement et de la recherche;;
PLF 2019;Budget général;MIN12;Services du Premier ministre;AV;Investissements d'avenir;422;Valorisation de la recherche;;
PLF 2019;Budget général;MIN12;Services du Premier ministre;AV;Investissements d'avenir;423;Accélération de la modernisation des entreprises;;
PLF 2019;Budget général;MIN12;Services du Premier ministre;SE;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;;
PLF 2019;Budget général;MIN12;Services du Premier ministre;SE;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;;
PLF 2019;Budgets annexes;MIN12;Services du Premier ministre;XJ;Publications officielles et information administrative;623;Édition et diffusion;;
PLF 2019;Budgets annexes;MIN12;Services du Premier ministre;XJ;Publications officielles et information administrative;624;Pilotage et ressources humaines;65 912 746;663
PLF 2019;Budget général;MIN21;Économie et finances;AD;Aide publique au développement;110;Aide économique et financière au développement;;
PLF 2019;Budget général;MIN21;Économie et finances;DB;Économie;134;Développement des entreprises et régulations;389 435 907;4 899
PLF 2019;Budget général;MIN21;Économie et finances;DB;Économie;343;Plan France Très haut débit;;
PLF 2019;Budget général;MIN21;Économie et finances;DB;Économie;220;Statistiques et études économiques;371 568 574;5 276
PLF 2019;Budget général;MIN21;Économie et finances;DB;Économie;305;Stratégie économique et fiscale;153 219 031;1 518
PLF 2019;Budget général;MIN21;Économie et finances;EB;Engagements financiers de l'État;117;Charge de la dette et trésorerie de l'État (crédits évaluatifs);;
PLF 2019;Budget général;MIN21;Économie et finances;EB;Engagements financiers de l'État;114;Appels en garantie de l'État (crédits évaluatifs);;
PLF 2019;Budget général;MIN21;Économie et finances;EB;Engagements financiers de l'État;145;Épargne;;
PLF 2019;Budget général;MIN21;Économie et finances;EB;Engagements financiers de l'État;336;Dotation du Mécanisme européen de stabilité;;
PLF 2019;Budget général;MIN21;Économie et finances;EB;Engagements financiers de l'État;338;Augmentation de capital de la Banque européenne d'investissement;;
PLF 2019;Budget général;MIN21;Économie et finances;EB;Engagements financiers de l'État;344;Fonds de soutien relatif aux prêts et contrats financiers structurés à risque;;
PLF 2019;Budget général;MIN21;Économie et finances;RA;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;105 851 219;1 108
PLF 2019;Comptes d'affectation spéciale;MIN21;Économie et finances;YM;Participation de la France au désendettement de la Grèce;795;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus sur les titres grecs;;
PLF 2019;Comptes d'affectation spéciale;MIN21;Économie et finances;YM;Participation de la France au désendettement de la Grèce;796;Rétrocessions de trop-perçus à la Banque de France;;
PLF 2019;Comptes d'affectation spéciale;MIN21;Économie et finances;YC;Participations financières de l'État;731;Opérations en capital intéressant les participations financières de l'État;;
PLF 2019;Comptes d'affectation spéciale;MIN21;Économie et finances;YC;Participations financières de l'État;732;Désendettement de l'État et d'établissements publics de l'État;;
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZA;Accords monétaires internationaux;811;Relations avec l'Union monétaire ouest-africaine;;
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZA;Accords monétaires internationaux;812;Relations avec l'Union monétaire d'Afrique centrale;;
