Nomenclature;Année;Type de ligne;Type de budget;Périmètre financier Chorus;Ministère;Programme;Code (programme, action ou sous-action);Libellé Chorus abrégé;Libellé complet;Mission;Type de dépenses;Code article d'éxécution;Section CAS/CCF;Compte CAS/CCF;Id Histo Tango;Code section Chorus
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P177;0177-12-15;Allocation de logement te;Allocation de logement temporaire (ALT1);MVA Cohésion des territoires;Hors Personnel;45.0;;;1NEX9005;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P345;0345-15-02;Frais d'intermédiation;Frais d'intermédiation;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;16G5G4BLLL4;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN36 Travail, plein emploi et insertion;P111;0111-01-10;Recherche et exploitation;Recherche et exploitation des études;MTB Travail et emploi;Hors Personnel;10.0;;;1NEX8802;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P200;0200-11-06;rest prev solidarité;Restitutions de prélèvement de solidarité;MRD Remboursements et dégrèvements;Hors Personnel;;;;20DLPJBKMDB;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN38 Enseignement supérieur et recherche;P150;0150-01;FI FC du Bac à la Licence;Formation initiale et continue du baccalauréat à la licence;MRA Recherche et enseignement supérieur;Mixte;10.0;;;1ACT923;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN70 Armées;P146;0146-08;PMS-ProjectMobiliSoutien;Projection - mobilité - soutien;MDA Défense;Hors Personnel;;;;1ACT1974;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN01 Europe et affaires étrangères;P105;0105-05;Coop. sécurité et défense;Coopération de sécurité et de défense;MAA Action extérieure de l'État;Mixte;;;;1ACT569;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN01 Europe et affaires étrangères;P105;0105-05-04;Pers.action coop.sécu.déf;"Personnel concourant à l'action ""coopération de sécurité et de défense""";MAA Action extérieure de l'État;Personnel;73.0;;;1NEX903;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P215;0215-03-03;Personnel : moyens d'ajus;Personnel : moyens d'ajustement des DRAAF, DAAF et DDT(M);MAC Agriculture, alimentation, forêt et affaires rurales;Personnel;32.0;;;1NEX2910;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P110;0110-01;Aide.Eco.Fin.Multilatér;Aide économique et financière multilatérale;MAD Aide publique au développement;Hors Personnel;;;;1ACT608;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN36 Travail, plein emploi et insertion;P103;0103-03-02;Promotion de l'activité;Promotion de l'activité;MTB Travail et emploi;Hors Personnel;48.0;;;1SSA558;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P110;0110-03-12;Fonds multi PPTE;PPTE - Fonds multilatéraux de soutien aux pays pauvres très endettés;MAD Aide publique au développement;Hors Personnel;;;;1NEX9174;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P200;0200-13-04;Taxe sur la valeur ajouté;Taxe sur la valeur ajoutée - Dégrèvements et restitution de sommes indûment perçues;MRD Remboursements et dégrèvements;Hors Personnel;33.0;;;2QDOV5MCV2F;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN36 Travail, plein emploi et insertion;P155;0155-09;Systèmes d'information;Systèmes d'information;MTB Travail et emploi;Hors Personnel;11.0;;;1ACT4842;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P381;0381-01;All cotisation et contrib;Allègements de cotisations et contributions sociales;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;;;;22ZYZ77E0MT;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P521;0521-03;Musée du Luxembourg;Musée du Luxembourg;MPB Pouvoirs publics;Hors Personnel;30.0;;;1ACT1555;
