Nature juridique du bénéficiaire;;;;Rattachement d'un operateur;;Bénéficiaire de la taxe;;Taxe affectée;;;;;;;;;;;Référence juridique;
Secteur;Catégorie d'opérateur ou répartition nature juridique;Catégorie d'opérateur ou nature juridique;Numéro SIREN;Mission;Programme;Code;Libellé;Code;Libellé;Exécution 2018;Plafond 2018;Reversement BG 2018;Exécution 2019;Plafond 2019;Reversement BG 2019;Exécution 2020;Plafond 2020;Reversement BG 2020;Début du plafonnement;Référence juridique
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130003262;Administration générale et territoriale de l'État;354 Administration territoriale de l'État;41;ANTS - Agence nationale des titres sécurisés;54;Fraction des droits de timbre sur les passeports sécurisés;301 800 000;126 060 000;175 740 000;307 500 000;126 060 000;181 440 000;276 100 000;137 060 000;139 040 000;LFI 2012;Art. 953 al. I du CGI (art. 46 de la LFI 2007 et art. 77-1 de la LFI 2011)
Organismes d'administration centrale ;Autres personnes morales de droit public dépendant de l'Etat;Autorité administrative indépendante;130012321;;;17;ARAFER - Autorité de régulation des activités ferroviaires et routières;25;Droit dû par les entreprises ferroviaires pour l'autorité de régulation des activités ferroviaires;9 421 885;8 300 000;1 121 885;9 700 000;8 800 000;900 000;Inexistant en 2020;;;LFI 2012;Art. L2131-13 du Code des transports et aArt. 21 (§ II) de la loi n°2009-1503 du 8 décembre 2009 relative à l'organisation et à la régulation des transports ferroviaires
Secteur local;Départements;Département;;;;147;Départements (part départementale);199;Taxe départementale pour le financement des conseils d'Architecture, de l'urbanisme et de l'environnement (CAUE);3 000 000;;;3 000 000;;;3 000 000;;;;Art. 1599 B du Code général des impôts (abrogée à/c du 1er mars 2012, substituée par la taxe d'aménagement)
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;180092108;;;26;FNPCA - Fonds national de promotion du commerce et de l'artisanat;34;Majoration de 10% du montant maximum du droit fixe de la taxe pour frais de chambres de métiers;Inexistant en 2018;;;Inexistant en 2019;;;Inexistant en 2020;;;;Art. 1601 du CGI (modifié par l’art. 2 de la LFI 2010 et l’art. 15 de la loi n° 2010-853 de refonte du réseau consulaire)
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180046039;Médias, livre et industries culturelles;334 Livre et industries culturelles;107;CNC - Centre national du cinéma et de l'image animée;152;TST - Taxe sur les éditeurs et distributeurs de services de télévision - Fraction Distributeurs;203 200 000;;;215 637 080;;;215 637 080;;;;Art. L115-6 à L115-13 du Code du cinéma et de l’image animée
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;441649225;;;62;Etablissement public foncier de Provence-Alpes-Côte d'Azur;20;Taxes spéciales d'équipement;50 000 000;56 500 000;0;55 880 000;55 880 000;0;54 880 000;54 880 000;0;LFR-I 2014 et de la LFI 2015;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130012024;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;248;Taxe sur les produits de tabac;Inexistant en 2018;;;2 000 000;2 000 000;0;2 000 000;2 000 000;0;LFI 2019;Article L. 3512-19 du code de la santé publique
Secteur local;Établissement public administratif local;(Autre) Établissement public administratif local;;;;113;Centres de gestion de la fonction publique territoriale;129;Cotisation obligatoire;156 005 018;;;157 097 053;;;158 353 829;;;;Art. 22 de la loi n° 84-53 du 26 janvier 1984
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;775664881;;;25;ITERG - Institut des corps gras;33;Taxe affectée au financement de l'institut des corps gras;680 000;709 000;0;680 000;666 000;14 000;680 000;666 000;14 000;LFR 2015 et de la LFI 2016;G de l'art. 71 de la LFR 2003
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;180035024;;;99;CNAMTS;104;Contribution due par les entreprises exploitant des médicaments bénéficiant d'une AMM / Contribution sur le chiffre d'affaires des entreprises exploitant une ou plusieurs spécialités pharmaceutiques;419 787 362;;;430 702 488;;;441 470 050;;;;Art. L. 245-6 du Code de la sécurité sociale
