Une dépense fiscale dont la fin du fait générateur est antérieure à l'année du projet de loi de finances est sur une ligne grisée,;empty;empty;empty;empty;empty;empty;empty;empty;empty;empty;$@Entete
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50111.0;Exonération des immeubles situés dans un bassin urbain à dynamiser (BUD) et rattachés à un établissement implanté dans un BUD pouvant bénéficier de l’exonération de CFE;Finalité : Aider certains espaces géographiques (urbains);;;;;;
Accise sur les énergies;Produits énergétiques autres que les gaz naturels et les charbons;Tarifs réduits;800216.0;Tarif particulier pour le superéthanol  E85, carburant essence comprenant au moins 65 % d'éthanol;;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110216.0;Réduction d'impôt au titre des souscriptions en numéraire au capital initial ou aux augmentations de capital de PME [européennes];Finalité : Développer le financement des entreprises sur capitaux;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Déductions;230105.0;Déduction exceptionnelle en faveur de l’investissement des entreprises utilisatrices d’engins fonctionnant au GNR dans l’acquisition de matériels fonctionnant avec des carburants alternatifs;Finalité : Aider les entreprises grandes consommatrices d'énergie;;;;;;
Impôt sur les sociétés;Exonérations;Exonérations de produits;300210.0;Exonération des sociétés de placement à prépondérance immobilière à capital variable (SPPICAV);Finalité : Orienter l'épargne vers l'immobilier;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Déductions;200401.0;Déduction exceptionnelle de 40% du prix de revient de certains biens limitativement énumérés, pratiquée sur la durée normale d'utilisation du bien;Finalité : Améliorer la compétitivité des entreprises;;;;;;
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Abattements;100201.0;Abattement en faveur des personnes âgées ou invalides de condition modeste;Finalité : Aider les personnes modestes âgées ou invalides;;;;;;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140122.0;Exonération, sous certaines conditions, des revenus des parts de fonds communs de placement à risques (FCPR) et des produits distribués des sociétés de capital risque (SCR);Finalité : Orienter l'épargne vers le capital-risque;;;;;;
Accise sur les énergies;Électricité;Tarifs réduits;820207.0;Tarif réduit pour l’électricité directement fournie, lors de leur stationnement à quai dans les ports, aux navires utilisés à des fins commerciales ou pour les besoins des autorités publiques;Finalité : Aider le secteur du transport maritime;;;;;;
Autres droits;Malus CO2 sur les véhicules de tourisme;;970104.0;Réduction des émissions, ou de la puissance administrative, prises en compte dans le barème du malus à hauteur de 20 grammes par kilomètre, ou d'un CV, par enfant à charge ou accueilli au titre de l’aide sociale, lorsque le nombre d’enfants au sein du foyer fiscal est d’au moins trois;Finalité : Aider les familles;;;;;;
