Mission;Code Mission;Type Mission;Programme;Libellé Programme;Action;Libellé Action;SousAction;Libellé SousAction;Catégorie;Code Titre;Code Ministère;Libellé Ministère;AE T2 PLF 2023;AE Hors T2 PLF 2023;CP T2 PLF 2023;CP Hors T2 PLF 2023;AE T2 Amendements 2023;AE Hors T2 Amendements 2023;CP T2 Amendements 2023;CP Hors T2 Amendements 2023;AE T2 LFI 2023;AE Hors T2 LFI 2023;AE (T2 + Hors T2) LFI  2023;CP T2 LFI 2023;CP Hors T2 LFI 2023;CP (T2 + Hors T2) LFI  2023;check LFI positive pour le croisement action/sous-action catégorie de cette ligne;"check
 AE = CP en T2"
Défense;DA;BG;212.0;Soutien de la politique de la défense;64;"Pilotage, soutien  -  Personnel travaillant pour l'action "" Pilotage, soutien """;01;Personnel du SGA employeur;21.0;4.0;70.0;Armées;166552467.0;0.0;166552467.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Contrôle de la circulation et du stationnement routiers;YE;CAS;751.0;Structures et dispositifs de sécurité routière;01;Dispositifs de contrôle;;;31.0;4.0;9.0;Intérieur et outre-mer;0.0;153651683.0;0.0;153651683.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Enseignement scolaire;EC;BG;143.0;Enseignement technique agricole;03;Aide sociale aux élèves et santé scolaire (enseignement public et privé);;;61.0;4.0;3.0;Agriculture et souveraineté alimentaire;0.0;51037559.0;0.0;51121091.0;0.0;565000.0;0.0;565000.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;144.0;Environnement et prospective de la politique de défense;03;Recherche et exploitation du renseignement intéressant la sécurité de la France;32;Renseignement de sécurité de défense;31.0;4.0;70.0;Armées;0.0;16811419.0;0.0;16541068.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;36;Communiquer - CONTACT;51.0;4.0;70.0;Armées;0.0;0.0;0.0;215395875.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Solidarité, insertion et égalité des chances;SE;BG;124.0;Conduite et soutien des politiques sanitaires et sociales;20;Personnels mettant en oeuvre les politiques pour les droits des femmes;;;22.0;4.0;56.0;Solidarités, autonomie et personnes handicapées;5063782.0;0.0;5063782.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Remboursements et dégrèvements;RD;BG;200.0;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);12;Remboursements et dégrèvements liées à des politiques publiques;02;Impôt sur le revenu;61.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;2060256838.0;0.0;2060256838.0;0.0;-257516.0;0.0;-257516.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;52;Relations internationales;01;DGA / Soutien aux exportations;21.0;4.0;70.0;Armées;3626029.0;0.0;3626029.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Anciens combattants, mémoire et liens avec la Nation;MB;BG;169.0;Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation;01;Administration de  la dette viagère;11;Retraite du combattant;61.0;4.0;70.0;Armées;0.0;509417357.0;0.0;509417357.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Plan de relance;PR;BG;362.0;Écologie;01;Rénovation énergétique;;;64.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;0.0;0.0;12615545.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Agriculture, alimentation, forêt et affaires rurales;AC;BG;381.0;Allègements du coût du travail en agriculture (TODE-AG);01;Allègements de cotisations et contributions sociales;;;64.0;4.0;3.0;Agriculture et souveraineté alimentaire;0.0;427000000.0;0.0;427000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Recherche et enseignement supérieur;RA;BG;142.0;Enseignement supérieur et recherche agricoles;01;Enseignement supérieur;;;61.0;4.0;3.0;Agriculture et souveraineté alimentaire;0.0;38065514.0;0.0;38065514.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;144.0;Environnement et prospective de la politique de défense;03;Recherche et exploitation du renseignement intéressant la sécurité de la France;31;Renseignement extérieur;31.0;4.0;70.0;Armées;0.0;180330938.0;0.0;212364396.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;09;Engagement et combat;71;Opérer en milieu hostile - Evolution Exocet;31.0;4.0;70.0;Armées;0.0;62703894.0;0.0;15230012.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Justice;JA;BG;182.0;Protection judiciaire de la jeunesse;01;Mise en oeuvre des décisions judiciaires;;;31.0;4.0;10.0;Justice;0.0;77654392.0;0.0;67810142.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Administration générale et territoriale de l'État;AB;BG;216.0;Conduite et pilotage des politiques de l'intérieur;07;Cultes et laïcité;;;64.0;4.0;9.0;Intérieur et outre-mer;0.0;878000.0;0.0;878000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;07;Pilotage, support, audit et évaluations;;;31.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;152091176.0;0.0;128701781.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Conseil et contrôle de l'État;CA;BG;165.0;Conseil d'État et autres juridictions administratives;01;Fonction juridictionnelle : Conseil d'État;;;23.0;4.0;12.0;Services du Premier ministre;175862.0;0.0;175862.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Recherche et enseignement supérieur;RA;BG;191.0;Recherche duale (civile et militaire);01;Recherche duale en sciences du vivant et NRBC-E;;;32.0;4.0;70.0;Armées;0.0;13500000.0;0.0;13500000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;203.0;Infrastructures et services de transports;44;Transports collectifs;;;64.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;450000.0;0.0;450000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Relations avec les collectivités territoriales;RC;BG;122.0;Concours spécifiques et administration;02;Administration des relations avec les collectivités territoriales;;;52.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;4092200.0;0.0;3492200.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Conseil et contrôle de l'État;CA;BG;126.0;Conseil économique, social et environnemental;05;Fonctions supports à l'institution;;;21.0;4.0;12.0;Services du Premier ministre;8227571.0;0.0;8227571.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Cohésion des territoires;VA;BG;135.0;Urbanisme, territoires et amélioration de l'habitat;04;Réglementation, politique technique et qualité de la construction;;;61.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;403903800.0;0.0;403903800.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Agriculture, alimentation, forêt et affaires rurales;AC;BG;149.0;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;23;Appui au renouvellement et à la modernisation des exploitations agricoles;;;62.0;4.0;3.0;Agriculture et souveraineté alimentaire;0.0;6026559.0;0.0;65398559.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Recherche et enseignement supérieur;RA;BG;150.0;Formations supérieures et recherche universitaire;15;Pilotage et support du programme;;;23.0;4.0;38.0;Enseignement supérieur et recherche;1298078.0;0.0;1298078.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;176.0;Police nationale;04;Police des étrangers et sûreté des transports internationaux;04;Autres actions relatives à la police des étrangers et à la sureté des transports internationaux - Hors administration centrale et cabinets;22.0;4.0;9.0;Intérieur et outre-mer;390888074.0;0.0;390888074.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;61;Renseigner, surveiller, acquérir et reconnaître - CUGE;31.0;4.0;70.0;Armées;0.0;0.0;0.0;103833642.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;156.0;Gestion fiscale et financière de l'État et du secteur public local;07;Gestion financière du secteur public local hors fiscalité;;;31.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;37475000.0;0.0;33825000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;218.0;Conduite et pilotage des politiques économiques et financières;09;Action sociale ministérielle;;;31.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;122737574.0;0.0;122737574.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;113.0;Paysages, eau et biodiversité;01;Sites, paysages, publicité;;;64.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;1403494.0;0.0;1446880.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Direction de l'action du Gouvernement;DC;BG;129.0;Coordination du travail gouvernemental;11;Stratégie et prospective;;;23.0;4.0;12.0;Services du Premier ministre;192215.0;0.0;192215.0;0.0;4175.0;0.0;4175.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Publications officielles et information administrative;XJ;BA;623.0;Édition et diffusion;02;Information administrative et vie publique;;;52.0;4.0;12.0;Services du Premier ministre;0.0;5032331.0;0.0;5363081.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Immigration, asile et intégration;IA;BG;104.0;Intégration et accès à la nationalité française;14;Accès à la nationalité française;;;31.0;4.0;9.0;Intérieur et outre-mer;0.0;1069981.0;0.0;1123413.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Économie;DB;BG;134.0;Développement des entreprises et régulations;13;Régulation des communications électroniques, des postes et de la distribution de la presse (ARCEP);;;31.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;5360514.0;0.0;7398067.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;161.0;Sécurité civile;13;Soutien aux acteurs de la sécurité civile;;;72.0;4.0;9.0;Intérieur et outre-mer;0.0;2421588.0;0.0;2421588.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Conseil et contrôle de l'État;CA;BG;164.0;Cour des comptes et autres juridictions financières;27;Pilotage et soutien des juridictions financières;;;64.0;4.0;12.0;Services du Premier ministre;0.0;60800.0;0.0;60800.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Justice;JA;BG;166.0;Justice judiciaire;07;Formation;;;21.0;4.0;10.0;Justice;80601542.0;0.0;80601542.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
