Année PLF;Type de Budget;Code Mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;Code Catégorie;Catégorie;AE PLF 2019;CP PLF 2019;Code Titre;Titre;Code Ministère PLF 2019;Ministère PLF 2019
2019;Comptes d'affectation spéciale;YD;Pensions;742;Ouvriers des établissements industriels de l'État;3;Autres dépenses spécifiques;;;23;Prestations sociales et allocations diverses;1 700 000;1 700 000;2;Dépenses de personnel;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;742;Ouvriers des établissements industriels de l'État;4;Gestion du régime;;;31;Dépenses de fonctionnement autres que celles de personnel;7 300 000;7 300 000;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;742;Ouvriers des établissements industriels de l'État;5;Rentes accidents du travail des ouvriers civils des établissements militaires (RATOCEM);;;23;Prestations sociales et allocations diverses;55 130 000;55 130 000;2;Dépenses de personnel;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;742;Ouvriers des établissements industriels de l'État;5;Rentes accidents du travail des ouvriers civils des établissements militaires (RATOCEM);;;31;Dépenses de fonctionnement autres que celles de personnel;570 000;570 000;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;1;Reconnaissance de la Nation;;;61;Transferts aux ménages;709 300 000;709 300 000;6;Dépenses d’intervention;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;2;Réparation;;;31;Dépenses de fonctionnement autres que celles de personnel;100 000;100 000;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;2;Réparation;;;61;Transferts aux ménages;965 200 000;965 200 000;6;Dépenses d’intervention;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;3;Pensions d'Alsace-Lorraine;;;23;Prestations sociales et allocations diverses;16 000 000;16 000 000;2;Dépenses de personnel;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;4;Allocations de reconnaissance des anciens supplétifs;;;61;Transferts aux ménages;16 520 000;16 520 000;6;Dépenses d’intervention;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;5;Pensions des anciens agents du chemin de fer franco-éthiopien;;;31;Dépenses de fonctionnement autres que celles de personnel;7 600;7 600;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;5;Pensions des anciens agents du chemin de fer franco-éthiopien;;;61;Transferts aux ménages;42 400;42 400;6;Dépenses d’intervention;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;6;Pensions des sapeurs-pompiers et anciens agents de la défense passive victimes d'accident;;;31;Dépenses de fonctionnement autres que celles de personnel;370 000;370 000;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;6;Pensions des sapeurs-pompiers et anciens agents de la défense passive victimes d'accident;;;61;Transferts aux ménages;12 160 000;12 160 000;6;Dépenses d’intervention;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;7;Pensions de l'ORTF;;;31;Dépenses de fonctionnement autres que celles de personnel;17 000;17 000;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YD;Pensions;743;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;7;Pensions de l'ORTF;;;61;Transferts aux ménages;123 000;123 000;6;Dépenses d’intervention;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YE;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;1;Dispositifs de contrôle;;;31;Dépenses de fonctionnement autres que celles de personnel;116 030 000;116 030 000;3;Dépenses de fonctionnement;9;Intérieur
2019;Comptes d'affectation spéciale;YE;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;1;Dispositifs de contrôle;;;51;Dépenses pour immobilisations corporelles de l’État;78 290 000;78 290 000;5;Dépenses d’investissement;9;Intérieur
2019;Comptes d'affectation spéciale;YE;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;2;Centre national de traitement;;;32;Subventions pour charges de service public;77 000 000;77 000 000;3;Dépenses de fonctionnement;9;Intérieur
2019;Comptes d'affectation spéciale;YE;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;2;Centre national de traitement;;;72;Dotations en fonds propres;15 000 000;15 000 000;7;Dépenses d’opérations financières;9;Intérieur
2019;Comptes d'affectation spéciale;YE;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;3;Soutien au programme;;;31;Dépenses de fonctionnement autres que celles de personnel;17 800 000;17 800 000;3;Dépenses de fonctionnement;9;Intérieur
2019;Comptes d'affectation spéciale;YE;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;3;Soutien au programme;;;62;Transferts aux entreprises;250 000;250 000;6;Dépenses d’intervention;9;Intérieur
2019;Comptes d'affectation spéciale;YE;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;4;Fichier national du permis de conduire;;;31;Dépenses de fonctionnement autres que celles de personnel;31 950 000;31 950 000;3;Dépenses de fonctionnement;9;Intérieur
2019;Comptes d'affectation spéciale;YE;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;4;Fichier national du permis de conduire;;;51;Dépenses pour immobilisations corporelles de l’État;3 630 000;3 630 000;5;Dépenses d’investissement;9;Intérieur
2019;Comptes d'affectation spéciale;YE;Contrôle de la circulation et du stationnement routiers;753;Contrôle et modernisation de la politique de la circulation et du stationnement routiers;1;Déploiement du procès-verbal électronique;;;32;Subventions pour charges de service public;25 200 000;25 200 000;3;Dépenses de fonctionnement;9;Intérieur
2019;Comptes d'affectation spéciale;YE;Contrôle de la circulation et du stationnement routiers;753;Contrôle et modernisation de la politique de la circulation et du stationnement routiers;1;Déploiement du procès-verbal électronique;;;72;Dotations en fonds propres;1 000 000;1 000 000;7;Dépenses d’opérations financières;9;Intérieur
2019;Comptes d'affectation spéciale;YE;Contrôle de la circulation et du stationnement routiers;754;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;1;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;;;63;Transferts aux collectivités territoriales;478 065 823;478 065 823;6;Dépenses d’intervention;9;Intérieur
2019;Comptes d'affectation spéciale;YE;Contrôle de la circulation et du stationnement routiers;755;Désendettement de l'État;1;Désendettement de l'État;;;31;Dépenses de fonctionnement autres que celles de personnel;452 435 730;452 435 730;3;Dépenses de fonctionnement;7;Action et comptes publics
2019;Comptes d'affectation spéciale;YF;Développement agricole et rural;775;Développement et transfert en agriculture;1;Développement et transfert;;;64;Transferts aux autres collectivités;64 900 000;64 900 000;6;Dépenses d’intervention;3;Agriculture et alimentation
2019;Comptes d'affectation spéciale;YF;Développement agricole et rural;775;Développement et transfert en agriculture;2;Fonction support;;;31;Dépenses de fonctionnement autres que celles de personnel;100 000;100 000;3;Dépenses de fonctionnement;3;Agriculture et alimentation
2019;Comptes d'affectation spéciale;YF;Développement agricole et rural;776;Recherche appliquée et innovation en agriculture;1;Recherche appliquée et innovation;;;64;Transferts aux autres collectivités;70 700 000;70 700 000;6;Dépenses d’intervention;3;Agriculture et alimentation
2019;Comptes d'affectation spéciale;YF;Développement agricole et rural;776;Recherche appliquée et innovation en agriculture;2;Fonction support;;;31;Dépenses de fonctionnement autres que celles de personnel;300 000;300 000;3;Dépenses de fonctionnement;3;Agriculture et alimentation
2019;Comptes d'affectation spéciale;YI;Services nationaux de transport conventionnés de voyageurs;785;Exploitation des services nationaux de transport conventionnés;1;Contribution à l’exploitation des services nationaux de transport conventionnés;;;62;Transferts aux entreprises;197 000 000;197 000 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YI;Services nationaux de transport conventionnés de voyageurs;785;Exploitation des services nationaux de transport conventionnés;2;Frais d'enquêtes, d'études et de conseil relatifs à l'exploitation des services nationaux de transport conventionnés;;;31;Dépenses de fonctionnement autres que celles de personnel;1 000 000;1 000 000;3;Dépenses de fonctionnement;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YI;Services nationaux de transport conventionnés de voyageurs;785;Exploitation des services nationaux de transport conventionnés;3;Contributions versées aux régions au titre de l’exploitation des services nationaux de transports antérieurement conventionnés;;;63;Transferts aux collectivités territoriales;88 200 000;88 200 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YI;Services nationaux de transport conventionnés de voyageurs;786;Matériel roulant des services nationaux de transport conventionnés;1;Contribution au matériel roulant des services nationaux de transport conventionnés;;;62;Transferts aux entreprises;73 000 000;73 000 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YJ;Financement national du développement et de la modernisation de l'apprentissage;787;Répartition régionale de la ressource consacrée au développement de l'apprentissage;3;Répartition régionale de la ressource consacrée au développement de l'apprentissage;;;63;Transferts aux collectivités territoriales;1 384 542 387;1 384 542 387;6;Dépenses d’intervention;36;Travail
2019;Comptes d'affectation spéciale;YJ;Financement national du développement et de la modernisation de l'apprentissage;790;Correction financière des disparités régionales de taxe d'apprentissage et incitations au développement de l'apprentissage;1;Correction financière des disparités régionales de taxe d'apprentissage et incitations au développement de l'apprentissage;;;63;Transferts aux collectivités territoriales;325 172 102;325 172 102;6;Dépenses d’intervention;36;Travail
2019;Comptes d'affectation spéciale;YK;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;3;Renforcement des réseaux;;;64;Transferts aux autres collectivités;164 200 000;164 200 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YK;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;4;Extension des réseaux;;;64;Transferts aux autres collectivités;41 600 000;41 600 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YK;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;5;Enfouissement et pose en façade;;;64;Transferts aux autres collectivités;42 500 000;42 500 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YK;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;6;Sécurisation des fils nus (hors faible section);;;64;Transferts aux autres collectivités;48 700 000;48 700 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YK;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;7;Sécurisation des fils nus de faible section;;;64;Transferts aux autres collectivités;52 500 000;52 500 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YK;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;8;Fonctionnement;;;31;Dépenses de fonctionnement autres que celles de personnel;200 000;200 000;3;Dépenses de fonctionnement;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YK;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;9;Déclaration d'utilité publique (Très haute tension);;;64;Transferts aux autres collectivités;500 000;500 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YK;Financement des aides aux collectivités pour l'électrification rurale;793;Électrification rurale;10;Intempéries;;;64;Transferts aux autres collectivités;5 000 000;5 000 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YK;Financement des aides aux collectivités pour l'électrification rurale;794;Opérations de maîtrise de la demande d’électricité, de production d’électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées;2;Sites isolés;;;64;Transferts aux autres collectivités;1 000 000;1 000 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YK;Financement des aides aux collectivités pour l'électrification rurale;794;Opérations de maîtrise de la demande d’électricité, de production d’électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées;3;Installations de proximité en zone non interconnectée;;;64;Transferts aux autres collectivités;3 000 000;3 000 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
2019;Comptes d'affectation spéciale;YK;Financement des aides aux collectivités pour l'électrification rurale;794;Opérations de maîtrise de la demande d’électricité, de production d’électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées;4;Maîtrise de la demande d'énergie;;;64;Transferts aux autres collectivités;800 000;800 000;6;Dépenses d’intervention;23;Transition écologique et solidaire
