;;;Dépense fiscale;;
Catégorie;Sous catégorie;Sous sous catégorie;Numéro;Libellé législatif;Information complémentaire
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110203;Crédit d'impôt pour frais de garde des enfants âgés de moins de 6 ans;Finalité : Aider la garde des jeunes enfants
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110205;Réduction d'impôt au titre des primes des contrats de rente survie et des contrats d'épargne handicap;Finalité : Orienter l'épargne vers la rente survie et l'épargne handicap
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110210;Réduction d’impôt au titre des investissements locatifs et de la souscription au capital de certaines sociétés réalisés jusqu’au 31/12/2017 et au titre des travaux de réhabilitation de logements réalisés jusqu’au 31/12/2020, dans les départements d'outre-mer, à Saint-Pierre-et-Miquelon, en Nouvelle-Calédonie, en Polynésie française, dans les îles Wallis et Futuna et les Terres australes et antarctiques françaises.;Finalité : Aider certains espaces géographiques (Outre-mer)
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110211;Réduction d'impôt pour frais de comptabilité et d'adhésion à un centre de gestion ou une association agréés;Finalité : Orienter certains contribuables vers les centres de gestion agréés
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110213;Réduction d'impôt au titre des frais de dépendance et d'hébergement pour les personnes dépendantes accueillies en établissement spécialisé;Finalité : Aider les personnes dépendantes
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110215;Réduction d'impôt pour frais de scolarité dans l'enseignement secondaire;Finalité : Aider les familles
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110216;Réduction d'impôt au titre des souscriptions en numéraire au capital initial ou aux augmentations de capital de PME [européennes];Finalité : Développer le financement des entreprises sur capitaux
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110218;Réduction d'impôt au titre de la souscription de parts de fonds communs de placement dans l'innovation (FCPI);Finalité : Orienter l'épargne vers le capital-risque
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110221;Réduction d'impôt au titre des investissements dans le secteur du tourisme;Finalité : Aider le secteur touristique
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110222;Crédit d'impôt pour la transition énergétique;Finalité : Diminuer la consommation énergétique des logements
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110223;Réduction d'impôt au titre de la prestation compensatoire versée sous forme d'argent ou d'attributions de biens ou de droits ou sous forme de capital se substituant à des rentes;Finalité : Favoriser le versement de la prestation compensatoire sous forme de capital
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110224;Réduction d'impôt sur le revenu à raison des investissements productifs réalisés dans les départements et collectivités d'outre-mer;Finalité : Aider certains espaces géographiques (Outre-mer)
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110226;Réduction d'impôt sur le revenu pour investissements et cotisations d'assurance de bois et forêts jusqu'au 31 décembre 2020;Finalité : Aider le secteur sylvicole
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110228;Réduction d'impôt au titre de la souscription de parts de fonds d'investissement de proximité (FIP);Finalité : Orienter l'épargne vers le capital des PME d’un territoire donné
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110229;Réduction d'impôt au titre des intérêts d'emprunts souscrits par une personne physique en vue de financer la reprise d'une entreprise exploitée sous forme de société soumise à l'impôt sur les sociétés;Finalité : Favoriser les reprises d'entreprises
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110236;Crédit d'impôt pour dépenses d'équipements de l'habitation principale en faveur de l'aide aux personnes;Finalité : Aider les personnes âgées ou handicapées
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110238;Crédit d'impôt à raison des intérêts des prêts souscrits entre le 1er septembre 2005 et le 31 décembre 2008 en vue du financement de leurs études par les personnes âgées de vingt-cinq ans au plus;Finalité : Développer l'enseignement supérieur (étudiants modestes)
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110239;Réduction d'impôt sur le revenu à raison des intérêts perçus au titre du différé de paiement accordé à des exploitants agricoles;Finalité : Aider le secteur agricole
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110240;Crédit d'impôt au titre des dépenses engagées par les exploitants agricoles pour assurer leur remplacement;Finalité : Aider le secteur agricole
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110241;Réduction d'impôt au titre des cotisations versées aux associations syndicales autorisées ayant pour objet la réalisation de travaux de prévention en vue de la défense des forêts contre les incendies sur des terrains inclus dans les bois classés;Finalité : Aider le secteur sylvicole
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110242;Réduction d'impôt pour frais de scolarité dans l'enseignement supérieur;Finalité : Développer l'enseignement supérieur
