Année;Type de recettes;Code Ligne Recettes;Libellé;Montant Recettes PLF;Montant Recettes LFI
2024.0;Recettes fiscales;1774.0;Taxe spéciale sur la publicité télévisée;0.0;0.0
2024.0;Recettes fiscales;1408.0;Prélèvements sur les entreprises d'assurance;162000000.0;162000000.0
2024.0;Recettes non fiscales;2621.0;Recouvrements après admission en non-valeur;114350000.0;114350000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3112.0;Dotation départementale d'équipement des collèges;326317000.0;326317000.0
2024.0;Recettes fiscales;1786.0;Prélèvements sur le produit des jeux dans les casinos;1039557176.0;1039557176.0
2024.0;Recettes fiscales;1799.0;Autres taxes;3258000000.0;3258000000.0
2024.0;Recettes fiscales;1501.0;Taxe intérieure de consommation sur les produits énergétiques;18422732922.0;18422732922.0
2024.0;Recettes non fiscales;2617.0;Recouvrement des indemnisations versées par l'État au titre des expulsions locatives;8263620.0;8263620.0
2024.0;Recettes fiscales;1421.0;Cotisation nationale de péréquation de taxe professionnelle;1000000.0;1000000.0
2024.0;Recettes non fiscales;2199.0;Autres dividendes et recettes assimilées;0.0;0.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3136.0;Prélèvement sur les recettes de l’État au profit de la collectivité territoriale de Guyane;27000000.0;27000000.0
2024.0;Recettes non fiscales;2699.0;Autres produits divers;412044507.0;412044507.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3104.0;Dotation de compensation des pertes de bases de la taxe professionnelle et de redevance des mines des communes et de leurs groupements;30000000.0;30000000.0
2024.0;Recettes non fiscales;2613.0;Prélèvement effectué sur les salaires des conservateurs des hypothèques;0.0;0.0
2024.0;Recettes fiscales;1498.0;Cotisation foncière des entreprises;1000000.0;1000000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3111.0;Fonds de mobilisation départementale pour l'insertion;431738376.0;431738376.0
2024.0;Recettes fiscales;1706.0;Mutations à titre gratuit par décès;15400000000.0;15400000000.0
2024.0;Recettes fiscales;1788.0;Prélèvement sur les paris sportifs;817767917.0;817767917.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3119.0;Dotation de compensation de la réforme de la taxe professionnelle (régions);447129770.0;447129770.0
2024.0;Recettes non fiscales;2602.0;Reversements au titre des procédures de soutien financier au commerce extérieur;460600000.0;460600000.0
2024.0;Recettes non fiscales;2503.0;Produits des amendes prononcées par les autres autorités administratives indépendantes;285000000.0;285000000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3135.0;Prélèvement sur les recettes de l'État au titre de la compensation des pertes de recettes liées au relèvement du seuil d'assujettissement des entreprises au versement transport;48020650.0;48020650.0
2024.0;Recettes non fiscales;2411.0;Avances remboursables sous conditions consenties à l'aviation civile;109382905.0;109382905.0
2024.0;Recettes fiscales;1780.0;Taxe de l'aviation civile;0.0;0.0
2024.0;Recettes non fiscales;2698.0;Produits divers;30000000.0;30000000.0
2024.0;Recettes fiscales;1756.0;Taxe générale sur les activités polluantes;1318000000.0;1318000000.0
2024.0;Recettes fiscales;1716.0;Recettes diverses et pénalités;188000000.0;188000000.0
2024.0;Recettes fiscales;1713.0;Taxe de publicité foncière;656000000.0;656000000.0
2024.0;Recettes fiscales;1402.0;Retenues à la source et prélèvements sur les revenus de capitaux mobiliers et le prélèvement sur les bons anonymes;4800000000.0;4800000000.0
2024.0;Recettes fiscales;1703.0;Mutations à titre onéreux de meubles corporels;0.0;0.0
