Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege;commentFP
SSA;BG;135-01-13;;;SNE;SNE;
SSA;BG;135-01-14;;;FNAP - versement;FNAP - versement;
SSA;BG;135-01-15;;;Bassin Minier;Bassin Minier;
SSA;BG;135-01-16;;;Gens du voyage - évacuation des campements;GDV-Evacuat. camp.;
SSA;BG;135-01-17;;;PLS Conv délég Offre nouvelle;PLS CD Offre nouvelle;
SSA;BG;135-01-18;;;PLS Conv Délég Réhabilitation;PLS CD Réhabilitation;
SSA;BG;135-01-19;;;PLS Conv Délég Démolition;PLS CD Démolition;
SSA;BG;135-01-20;;;PLS Conv Délég MOUS;PLS CV MOUS;
ACT;BG;135-02;;;Soutien à l'accession à la propriété;Soutien à l'accession à l;
SSA;BG;135-02-03;;;Participation aux frais de gestion de la société de gestion du fonds de garantie de l'accession sociale;Part frais gestion SGFGAS;
ACT;BG;135-03;;;Lutte contre l'habitat indigne;Lutte contre hab. indigne;
SSA;BG;135-03-01;;;Lutte contre l'insalubrité;Lutte contre insalubrité;
SSA;BG;135-03-02;;;Lutte contre le risque plomb;Lutte contre risque plomb;
SSA;BG;135-03-07;;;LHI - travaux d'office;LHI-Trx d'office;
SSA;BG;135-03-08;;;LHI - autres dépenses : diagnostics;LHI hors trx d'office;
ACT;BG;135-04;;;Réglementation, politique technique et qualité de la construction;Réglementation qual const;
SSA;BG;135-04-01;;;Contentieux DALO;Ctx DALO;
SSA;BG;135-04-03;;;Qualité de la construction : études;Qualité construc : études;
SSA;BG;135-04-05;;;Contentieux de l'urbanisme;Contentieux de l'urbanism;
SSA;BG;135-04-06;;;Observatoires du logement;Observatoires du logement;
SSA;BG;135-04-08;;;Rénovation Anah;Rénov. Anah;
SSA;BG;135-04-09;;;Contentieux habitat hors DALO;Ctx habitat Hors DALO;
ACT;BG;135-05;;;Soutien;Soutien;
SSA;BG;135-05-01;;;Observation, études et évaluation : études centrales;Observ : études centrales;
SSA;BG;135-05-04;;;Informatique Logement;Informatique Logement;
SSA;BG;135-05-06;;;Observation, études et évaluation : études locales;Observ : études locales;
SSA;BG;135-05-10;;;Commissions de médiation pour le droit au logement opposable;COM DALO;
SSA;BG;135-05-13;;;Informatique Urbanisme;Info Urba;
SSA;BG;135-05-14;;;Communication, marketing et influence;Communication, marketing;
SSA;BG;135-05-18;;;RH et environnement de travail numérique;RH et environnement;
SSA;BG;135-05-19;;;Fonctionnement et logistique;Fonctionnement et logisti;
SSA;BG;135-05-21;;;Innovation, conseil et appui aux politiques publiques;Innovation, conseil;
SSA;BG;135-05-22;;;Territoires et usagers;Territoires et usagers;
ACT;BG;135-07;;;Urbanisme et aménagement;Urbanisme et aménagement;
SSA;BG;135-07-01;;;Villes et territoires durables;Villes & territ. durables;
SSA;BG;135-07-02;;;Politiques d'aménagement de l'Etat (CPER);Politiq aménagt (CPER);
SSA;BG;135-07-03;;;Politiques d'aménagement de l'Etat (hors CPER);Politiq aménagt (HCPER);
SSA;BG;135-07-04;;;Aide aux maires bâtisseurs;Aide aux maires bâtisseur;
SSA;BG;135-07-05;;;Architectes et paysagistes conseils;Archit et Paysag.conseils;
SSA;BG;135-07-06;;;Agences d'urbanisme;Agences Urba;
ACT;BG;135-09;;;Crédits Relance Cohésion;Relance Cohésion;
SSA;BG;135-09-01;;;Réhabilitation des aires d'accueil;GdV_relance;
SSA;BG;135-09-02;;;Humanisation, hors ANAH;Huma_relance;
SSA;BG;135-09-03;;;Expérimentation IDF, rachat d'hôtels et modulaires;Hotel_Mod_relance;
SSA;BG;135-09-04;;;Renforcement du plan de traitement des FTM, via FNAP;FTM_relance;
SSA;BG;135-09-05;;;Création de places d'hébergement, via FNAP;PSH_relance;
ACT;BG;135-10;;;Crédits Relance Écologie;Relance Écologie;
SSA;BG;135-10-01;;;Réhabilitation des LLS;PALULOS_relance;
SSA;BG;135-10-02;;;Réhabilitation des LLS, AAP MassiRéno anciennement EnergySprong;MassiReno_relance;
PGM;BG;147;VA;45;Politique de la ville;PolitiqueVille;La politique de la ville intervient de manière territorialisée dans 1 514 quartiers prioritaires correspondant aux concentrations urbaines de pauvreté tant en métropole qu’en outre-mer, où vivent 5,5 millions de personnes. Les crédits d’intervention spécifiques de la politique de la ville, regroupés au sein du programme 147, les crédits de l’ANRU et les diverses dispositions notamment fiscales produisent un effet levier sur les politiques de droit commun et les complètent, dans le cadre fixé par la géographie prioritaire et les contrats de ville 2014-2022. En 2022, au-delà de la stabilisation des crédits destinés aux contrats de ville, les moyens financiers affectés aux quartiers prioritaires de la politique de la ville continueront d’être amplifiés, dans la poursuite de la « mobilisation nationale pour les quartiers » lancée à l’été 2018 (80 M€ annuels supplémentaire depuis 2019), en particulier à travers le déploiement des bataillons de la prévention et la création de nouvelles cités éducatives
ACT;BG;147-01;;;Actions territorialisées et Dispositifs spécifiques de la politique de la ville;Actions territorialisées;
SSA;BG;147-01-10;;;Programme d'action des contrats de ville;Actions contrats de ville;
SSA;BG;147-01-11;;;Réussite éducative;Réussite éducative;
SSA;BG;147-01-12;;;Adultes relais;Adultes relais;
SSA;BG;147-01-17;;;Investissement  régionaux (CPER) (Ex FIV);Ex FIV régions-CPER;
SSA;BG;147-01-18;;;Investissement  régionaux (hors CPER) (Ex FIV);Ex FIV régions-Hors CPER;
SSA;BG;147-01-20;;;Délégation interministérielle à la lutte contre le racisme et l'antisémitisme (DILCRA);DILCRA;
ACT;BG;147-02;;;Revitalisation économique et emploi;Emploi;
SSA;BG;147-02-20;;;Allègement de charges sociales dans les zones franches urbaines et les zones de redynamisation urbaine;Exonérations ZFU-ZRU;
SSA;BG;147-02-21;;;Fonctionnement de l'établissement public d'insertion de la défense;Subvention EPIDe;
ACT;BG;147-03;;;Stratégie, ressources et évaluation;Stratégie;
SSA;BG;147-03-30;;;Centre de ressources - Formation des acteurs régionaux;Centres de ressources;
SSA;BG;147-03-31;;;Fonctionnement des services et formation des acteurs de la politique de la ville;Formation;
SSA;BG;147-03-32;;;Evaluation - accompagnement des acteurs;Eval_Accomp_Acteurs;
SSA;BG;147-03-34;;;Partenariat National;Associations;
SSA;BG;147-03-35;;;Etudes et communications;Etudes - Comm;
SSA;BG;147-03-36;;;Mesures expérimentales;Expérimentation;
SSA;BG;147-03-38;;;Délégués du Prefet;Délégués du Prefet;
ACT;BG;147-04;;;Rénovation urbaine et amélioration du cadre de vie;Rénovation urbaine;
SSA;BG;147-04-40;;;Programme national de rénovation urbaine;PNRU;
SSA;BG;147-04-41;;;Grands Projets de ville et opérations de renouvellement urbain (CPER);Ex GPV-ORU -CPER;
SSA;BG;147-04-42;;;Grands Projets de ville et opérations de renouvellement urbain (hors CPER);EX GPV-ORU - Hors CPER;
SSA;BG;147-04-44;;;Amélioration du cadre de vie - Collèges dégradés (ANRU);Collèges dégradés (ANRU);
SSA;BG;147-04-45;;;Fonctionnement de l'agence nationale de rénovation urbaine (ANRU);Fonctionnement de l'ANRU;
PGM;BG;162;VA;12;Interventions territoriales de l'État;IntervTerritÉtat;Le programme 162 a permis la mise en place des financements consacrés à la sécurité civile de Wallis-et-Futuna, en l’attente de la révision du statut qui attribuera cette compétence à l’assemblée territoriale et le lancement du plan chlordécone IV en Martinique et en Guadeloupe. Il a poursuivi la mise en œuvre des mesures répondant aux principaux enjeux des actions « eau et agriculture en Bretagne », « programme exceptionnel d'investissement en faveur de la Corse », « plan littoral 21 » déployé en Occitanie, « fonds interministériel pour la transformation de la Guyane » et « reconquête de la qualité des cours d’eau en Pays de la Loire ».
ACT;BG;162-02;;;Eau - Agriculture en Bretagne;Eau - Agric. en Bretagne;
SSA;BG;162-02-21;;;Inciter les agriculteurs et les autres acteurs à supprimer les atteintes à l'environnement;Suppr. Attein. Environ.;
SSA;BG;162-02-22;;;Mesurer l'évolution de la situation environnementale des milieux et faire appliquer des solutions correctives par l'action réglementaire;Mesurer évol. Sit. envir;
SSA;BG;162-02-23;;;Améliorer l'évaluation des résultats, développer le retour d'expérience et amplifier la gestion prospective et le pilotage à long terme;Améliorer éval résultats;
SSA;BG;162-02-25;;;Mettre en oeuvre le plan de lutte contre les algues vertes;Plan lutte algues vertes;
ACT;BG;162-04;;;Plans d'investissement pour la Corse;Prog excep invest Corse;
SSA;BG;162-04-41;;;Mettre à niveau les réseaux et équipements collectifs;Mise niv rés. équip coll;
SSA;BG;162-04-42;;;Renforcer les infrastructures de mise en valeur du territoire insulaire;Mise val du terr. insul.;
SSA;BG;162-04-43;;;Résorber le déficit en services collectifs;Résorb. déficit serv coll;
SSA;BG;162-04-44;;;Assistance à maîtrise d'ouvrage;Assistance à Mait. Ouvr.;
SSA;BG;162-04-45;;;Investir dans le développement territorial;développement territorial;
SSA;BG;162-04-46;;;Poursuivre l'accessibilité et le maillage de l'île par les grandes infrastructures;accessibilité et maillage;
SSA;BG;162-04-47;;;Accroître la résilience de la Corse;résilience;
ACT;BG;162-08;;;Volet territorialisé du plan national d'action chlordécone;Plan chlordéco. terri;
SSA;BG;162-08-81;;;Elaborer localement une stratégie d'amélioration de la qualité de vie des populations dans un contexte de pollution;Strat amél qual  vie pop;
SSA;BG;162-08-82;;;Favoriser une approche de prévention du risque sanitaire et de protection des populations dans une stratégie durable;Préven. risque sanitaire;
SSA;BG;162-08-83;;;Poursuivre les actions de recherche;Poursuite actions rech.;
SSA;BG;162-08-84;;;Evaluer les enjeux socio-économiques de la pollution au chlordécone;Enj socio-éco poll chlor.;
SSA;BG;162-08-85;;;Mesures du plan chlordécone IV;mesures plan IV;
ACT;BG;162-09;;;Plan littoral 21;Plan littoral 21;
SSA;BG;162-09-91;;;Vitrine française de la résilience écologique;Résilience écologique;
SSA;BG;162-09-92;;;Economie globale portée par l'innovation qui irrigue tout le territoire;Dévpt. économique global;
SSA;BG;162-09-93;;;Littoral symbole d'attractivité, d'accueil et de cohésion républicaine;Attrac.accueil-cohés.soc.;
ACT;BG;162-10;;;Fonds interministériel pour la transformation de la Guyane;Fonds interministériel po;
SSA;BG;162-10-01;;;La cohésion des territoires;La cohésion des territoir;
SSA;BG;162-10-02;;;La mobilité multimodale;La mobilité multimodale;
SSA;BG;162-10-03;;;Les territoires résilients;Les territoires résilient;
SSA;BG;162-10-04;;;Les territoires d'innovation et de rayonnement;Les territoires d'innovat;
SSA;BG;162-10-05;;;La cohésion sociale et l'employabilité;La cohésion sociale et l';
ACT;BG;162-11;;;Reconquête de la qualité des cours d'eau en Pays de la Loire;Eau Pays de Loire;
SSA;BG;162-11-11;;;Mieux accompagner les maîtres d'ouvrage porteurs des actions de restauration des milieux aquatiques;Accomp MOA actions aqua;
SSA;BG;162-11-12;;;Accompagner la transition agro-écologique des exploitations agricoles;Acc transition agro éco;
SSA;BG;162-11-13;;;Renforcer les connaissances et le suivi;Renforcer conn et suivi;
ACT;BG;162-12;;;Service d'incendie et de secours à Wallis-et-Futuna;SIS Wallis-et-Futuna;
PGM;BG;177;VA;23;Hébergement, parcours vers le logement et insertion des personnes vulnérables;LogementInsertionPersVuln;La politique d’hébergement et d’accès au logement des personnes sans abri ou mal logées vise à permettre l’accès au logement tout en garantissant une réponse aux situations d’urgence qui soit la plus adaptée aux besoins. Dans un contexte où la demande de mise à l’abri est très élevée en raison de la crise économique et l’intensité des flux migratoires, le Service public de la rue au logement, nouveau cadre de gouvernance de l’action de l’État, préserve une continuité stratégique autour du plan quinquennal pour le Logement d’abord. Fondée sur les principes d’égalité de traitement, d’inconditionnalité de l’accueil et de continuité de la prise en charge, cette politique vise à permettre l’accès à un logement décent, pérenne et adapté, maintenir une capacité d’hébergement permettant d’apporter l’accompagnement nécessaire pour favoriser l‘accès au logement, assurer une orientation efficace des personnes sans domicile et prévenir les ruptures de prise en charge en s’appuyant sur les dispositifs de veille sociale.
ACT;BG;177-11;;;Prévention de l'exclusion;Prévention de l'exclusion;
SSA;BG;177-11-01;;;Alloctaions et aides sociales;Alloctaions et aides soci;
SSA;BG;177-11-02;;;Gens du voyage - action sociale;Gens du voyage - action s;
SSA;BG;177-11-03;;;Gens du voyage - aide aux collectivités et organismes gérant des aires d'accueil des gens du voyage (ALT2);Gens du voyage - aide aux;
SSA;BG;177-11-05;;;Autres actions de prévention de l'exclusion;Autres actions de prévent;
ACT;BG;177-12;;;Hébergement et logement adapté;Hébergement et logement a;
SSA;BG;177-12-01;;;Plate-forme de veille sociale : 115;Plate-forme de veille soc;
SSA;BG;177-12-02;;;Plate-forme de veille sociale : SAO;Plate-forme de veille soc;
SSA;BG;177-12-03;;;Plate-forme de veille sociale : accueil de jour;Plate-forme de veille soc;
SSA;BG;177-12-04;;;Plate-forme de veille sociale : SAMU social, équipes mobiles;Plate-forme de veille soc;
SSA;BG;177-12-05;;;Service intégré de l'accueil et de l'orientation (SIAO);Service intégré de l'accu;
SSA;BG;177-12-06;;;Hébergement d'urgence - hors centres d'hébergement et de réinsertion sociale (CHRS);Hébergement d'urgence - h;
SSA;BG;177-12-07;;;Nuits d'hôtel;Nuits d'hôtel;
SSA;BG;177-12-08;;;Accompagnement social lié à l'hébergement;Accompagnement social lié;
SSA;BG;177-12-09;;;Hébergement de stabilisation - hors centres d'hébergement et de réinsertion sociale (CHRS);Hébergement de stabilisat;
SSA;BG;177-12-10;;;Centres d'hébergement et de réinsertion sociale (CHRS) - structures en dotation globale;Centres d’hébergement et ;
SSA;BG;177-12-11;;;Adaptation à la vie active dans les CHRS;Adaptation à la vie activ;
SSA;BG;177-12-12;;;Résidences sociales (aide à la gestion locative sociale);Résidences sociales (aide;
SSA;BG;177-12-13;;;Maisons-relais;Maisons-relais;
SSA;BG;177-12-14;;;Intermédiation locative;Intermédiation locative;
SSA;BG;177-12-15;;;Allocation de logement temporaire (ALT1);Allocation de logement te;
SSA;BG;177-12-16;;;Accompagnement vers et dans le logement;Accompagnement vers et da;
SSA;BG;177-12-17;;;Autres actions en faveur de l'hébergement et du logement adapté;Autres actions en faveur ;
ACT;BG;177-14;;;Conduite et animation des politiques de l'hébergement et de l'inclusion sociale;Conduite et animation des;
SSA;BG;177-14-01;;;Ingénierie et outils de la gouvernance;Ingénierie et outils de l;
SSA;BG;177-14-02;;;Soutien financier aux organismes nationaux intervenant dans le champ social : FONJEP;Soutien financier aux org;
SSA;BG;177-14-03;;;Soutien financier aux organismes nationaux intervenant dans le champ social : autres organismes nationaux;Soutien financier aux org;
SSA;BG;177-14-04;;;Institut de formation aux carrières administratives, sanitaires et sociales de Dieppe;Institut de formation aux;
SSA;BG;177-14-06;;;Autres actions de conduite et d'animation de la politique de de l'hébergement et de l'inclusion social;Autres actions de conduit;
MSN;BG;CA; ;;Conseil et contrôle de l'État;ConseilContÉtat;
PGM;BG;126;CA;12;Conseil économique, social et environnemental;Conseil économique, socia;La réforme du CESE, portée par la loi organique du 15 janvier 2021 modifiant l’ordonnance de 1958, en fait désormais le lieu privilégié de l’expression de la participation citoyenne, en appui à ses propres travaux effectués sur saisine du Premier ministre, du président de l’Assemblée nationale ou du Sénat, ou sur auto-saisine. Ces nouveaux moyens d’action seront déclinés et développés au cours de la mandature 2021-2026, récemment installée au mois de mai dernier, et qui définira dès l’automne 2021 les orientations stratégiques et les méthodes de travail du Conseil en tant que forum de la société civile.
ACT;BG;126-01;;;Représentation des activités économiques et sociales;Représ. act. éco. & soc.;
SSA;BG;126-01-01;;;Personnel;Personnel;
SSA;BG;126-01-02;;;Fonctionnement;Fonctionnement;
ACT;BG;126-02;;;Fonctionnement de l'institution;Fonct. de l'institution;
SSA;BG;126-02-01;;;Personnel;Personnel;
SSA;BG;126-02-02;;;Fonctionnement;Fonctionnement;
SSA;BG;126-02-03;;;Investissement;Investissement;
ACT;BG;126-03;;;Communication et international;Comm. et international;
SSA;BG;126-03-01;;;Personnel;Personnel;
SSA;BG;126-03-02;;;Fonctionnement;Fonctionnement;
PGM;BG;164;CA;12;Cour des comptes et autres juridictions financières;Cour des comptes;Le programme 164 « Cour des comptes et autres juridictions financières » regroupe les moyens nécessaires aux juridictions financières pour la mise en œuvre des articles 15 et 14 de la Déclaration des Droits de l’Homme et du Citoyen. Ainsi, les crédits du programme permettent de s’assurer du bon emploi de l’argent public et de contribuer au respect du droit reconnu à la société de « demander compte à tout agent public de son administration » et aux citoyens de « constater, par eux-mêmes ou par leurs représentants, la nécessité de la contribution publique, de la consentir librement, d’en suivre l’emploi et d’en déterminer la quotité, l’assiette, le recouvrement et la durée ».
ACT;BG;164-21;;;Examen des comptes publics;Examen comptes publics;
ACT;BG;164-22;;;Contrôle des finances publiques;Contrôle finances publiq.;
ACT;BG;164-23;;;Contrôle des gestions publiques;Contrôle gestions publiq.;
ACT;BG;164-24;;;Evaluation des politiques publiques;Eval. politiques publiq.;
ACT;BG;164-25;;;Information des citoyens;Information des citoyens;
ACT;BG;164-26;;;Mise en jeu de la responsabilité des comptables publics et des gestionnaires publics;Resp compt & gest publics;
ACT;BG;164-27;;;Pilotage et soutien des juridictions financières;Pilotage sout jurid. fin.;
ACT;BG;164-99;;;Personnels à reventiler;Personnels à reventiler;
PGM;BG;165;CA;12;Conseil d'État et autres juridictions administratives;Conseil d'État et autres;"Malgré la crise sanitaire, qui a bouleversé considérablement l’activité des juridictions administratives, la plupart des indicateurs de gestion ont pu être maintenus à un niveau acceptable. Cependant, la situation des juridictions administratives demeure préoccupante en raison de la forte progression des entrées contentieuses (en 2018 et 2019 le contentieux a augmenté de +17% dans les TA et +14% dans les CAA ; de 2017 à 2019 la CNDA a vu ses entrées augmenter de +48%). Par ailleurs, la forte baisse conjoncturelle induite par la crise sanitaire en 2020 s’est progressivement résorbée et, au premier semestre 2021, le niveau des entrées dans les TA et à la CNDA a dépassé celui de l’année 2019 sur la même période. Toutefois, si la crise sanitaire ne connaît pas un nouveau rebond et que la progression du contentieux reste modérée les principaux indicateurs d’activité des juridictions administratives, qui se sont dégradés en 2020, devraient pouvoir s’améliorer à partir de 2021."
ACT;BG;165-01;;;Fonction juridictionnelle : Conseil d'État;Fonction jurid. : CE;
ACT;BG;165-02;;;Fonction juridictionnelle : Cours administratives d'appel;Fonction jurid. : CAA;
ACT;BG;165-03;;;Fonction juridictionnelle : Tribunaux administratifs;Fonction jurid. : TA;
ACT;BG;165-04;;;Fonction consultative;Fonction consultative;
ACT;BG;165-05;;;Fonction études, expertise et services rendus aux administrations de l'État et des collectivités;Fonct. étu.exper.serv.adm;
ACT;BG;165-06;;;Soutien;Soutien;
SSA;BG;165-06-01;;;Frais de justice;Frais de justice;
SSA;BG;165-06-02;;;Soutien (hors frais de justice);Soutien hs frais de just.;
ACT;BG;165-07;;;Cour nationale du droit d'asile;Cour nat. droit d'asile;
ACT;BG;165-99;;;Dépenses de personnels du programme à reventiler;Dépenses de personnels du;
PGM;BG;340;CA;12;Haut Conseil des finances publiques;HCFP;Le Haut Conseil des finances publiques (HCFP) est un organisme indépendant du Gouvernement et du Parlement. Placé auprès de la Cour des comptes et distinct de cette dernière, il est présidé par le Premier président de la Cour des comptes. Le Haut Conseil des finances publiques est chargé d’une mission spécifique qui contribue à la bonne gouvernance des finances publiques. Le programme 340 regroupe les coûts salariaux des membres du secrétariat permanent et les coûts de fonctionnement afférents.
ACT;BG;340-01;;;Haut Conseil des finances publiques;HCFP;
MSN;BG;PC; ;;Crédits non répartis;Crédits non répartis;"La mission « Crédits non répartis » est une mission spécifique qui regroupe, selon les dispositions de l'article 7 de la LOLF, les crédits des deux dotations suivantes : 
•	Une dotation pour dépenses accidentelles, destinée à faire face à des calamités, et pour dépenses imprévisibles ; 
•	Une dotation pour mesures générales en matière de rémunérations dont la répartition par programme ne peut être déterminée avec précision au moment du vote des crédits."
PGM;BG;551;PC;07;Provision relative aux rémunérations publiques;ProvRémunérationPublique;
ACT;BG;551-01;;;Provision relative aux rémunérations publiques;Provision relative aux ré;
PGM;BG;552;PC;07;Dépenses accidentelles et imprévisibles;DépensAccidentelleImprev.;
ACT;BG;552-01;;;Dépenses accidentelles et imprévisibles;Dépenses accidentelles et;
MSN;BG;CB; ;;Culture;Culture;
PGM;BG;131;CB;02;Création;Création;"Le programme 131 « Création » regroupe les crédits du ministère de la Culture en faveur du spectacle vivant, des arts visuels et du soutien à l’emploi et à la structuration des professions artistiques.
922 M€ en AE et 914 M€ en CP (après transferts) sont inscrits au PLF 2022, soit une augmentation de 37 M€ en AE et 54 M€ en CP par rapport à la LFI 2021. Ces crédits supplémentaires serviront notamment à soutenir les structures de la création, labels et réseaux en région (+10 M€), la politique du ministère en faveur des festivals (+10M€), la montée en puissance du FONPEPS (+5 M€) et le renforcement des opérateurs du programme (+5M€).  Enfin, 22,0 M€, partiellement financés par des économies sur le tendanciel de dépenses (-4,4M€) seront consacrés à la poursuite de projets d’investissements ambitieux."
ACT;BG;131-01;;;Soutien à la création, à la production et à la diffusion du spectacle vivant;Soutien créa prod diff SV;
SSA;BG;131-01-01;;;Spectacle vivant (CPER);Spectacle vivant (CPER);
SSA;BG;131-01-02;;;Aide à la création et aux nouvelles écritures;Aide créa° & nvelles écri;
SSA;BG;131-01-04;;;Soutien aux artistes et équipes artistiques;Soutien artT et éq artQ;
SSA;BG;131-01-08;;;Recherche, ressource et valorisation du patrimoine du spectacle vivant;Rech, ress et valo pat SV;
SSA;BG;131-01-23;;;Soutien aux institutions et lieux de création et de diffusion en matière de spectacle vivant;Soutien inst lieux SV;
SSA;BG;131-01-24;;;Festivals et résidences;Festivals et résidences;
SSA;BG;131-01-25;;;Structuration des professions et de l'économie du secteur du spectacle vivant;Struct° prof° et éco SV;
ACT;BG;131-02;;;Soutien à la création, à la production et à la diffusion des arts visuels;Sout créa° prod & diff AV;
SSA;BG;131-02-01;;;Arts visuels (CPER);Arts visuels (CPER);
SSA;BG;131-02-02;;;Acquisitions et commandes publiques dans le secteur des arts visuels;Acq° & comm publQ AV;
SSA;BG;131-02-04;;;Structuration des professions et de l'économie du secteur des arts visuels;Struct° prof° et éco AV;
SSA;BG;131-02-06;;;Aides à la création et à la diffusion en matière d'arts visuels;Aides créa et diff AV;
SSA;BG;131-02-08;;;Soutien aux institutions et lieux de création et de diffusion en matière d'arts visuels;Sout. inst lieux AV;
SSA;BG;131-02-09;;;Soutien aux manufactures et métiers d'art;Sout. manuf mét art;
ACT;BG;131-06;;;Soutien à l'emploi et structurations des professions;Soutien emploi;
SSA;BG;131-06-01;;;Soutien à l'emploi et accompagnement professionnel des artistes;Acc.Prof.artistes;
SSA;BG;131-06-02;;;Structuration des professions et de l'économie du secteur du spectacle vivant;Prof.spec.vivant;
SSA;BG;131-06-03;;;Structuration des professions de l'économie du secteur des arts visuels;Prof.arts.visuels;
SSA;BG;131-06-04;;;Compensation CSG artistes auteurs;Comp.CSG artistes;
PGM;BG;175;CB;02;Patrimoines;Patrimoines;
ACT;BG;175-01;;;Monuments Historiques et patrimoine monumental;Monuments Historiques et ;
SSA;BG;175-01-01;;;Fêtes nationales et cérémonies publiques;Fêtes N et cérémonies;
SSA;BG;175-01-03;;;Monuments historiques appartenant à l'Etat - entretien;MH Etat - entretien;
SSA;BG;175-01-04;;;Monuments historiques appartenant à l'Etat - restauration (hors CPER);MH Etat - restaur° HCPER;
SSA;BG;175-01-06;;;Monuments historiques n'appartenant pas à l'Etat - entretien (hors CPER);MH non Etat - entr. HCPER;
SSA;BG;175-01-07;;;Monuments historiques n'appartenant pas à l'Etat - restauration (CPER);MH non Etat - rest° CPER;
SSA;BG;175-01-08;;;Monuments historiques n'appartenant pas à l'Etat - restauration (hors CPER);MH non Etat - rest° HCPER;
SSA;BG;175-01-09;;;Promotion et valorisation des monuments historiques et du patrimoine monumental (CPER);Prom valo MH pat mo CPER;
SSA;BG;175-01-10;;;Promotion et valorisation des monuments historiques et du patrimoine monumental (hors CPER);Prom valo MH pat mo HCPER;
SSA;BG;175-01-14;;;Centre des monuments nationaux (CMN);CMN;
SSA;BG;175-01-20;;;Monuments historiques appartenant à l'Etat - restauration (CPER);MH Etat - restaur° CPER;
SSA;BG;175-01-22;;;Etablissements nationaux;Etablissements nationaux;
ACT;BG;175-02;;;Architecture et sites patrimoniaux;Architecture et sites p;
SSA;BG;175-02-02;;;Travaux et études en espaces protégés (sites patrimoniaux remarquables, abords, patrimoine mondial);Trav & ét esp protégés;
SSA;BG;175-02-04;;;Promotion, diffusion et sensibilisation à l'architecture;Promo diff & sensi° archi;
ACT;BG;175-03;;;Patrimoine des musées de France;Pat musées de France;
SSA;BG;175-03-02;;;Musées de France - Construction, aménagement et entretien (CPER);MF - const amé entr CPER;
SSA;BG;175-03-03;;;Musées de France - Construction, aménagement et entretien (hors CPER);MF - const amé entr HCPER;
SSA;BG;175-03-05;;;Recherche, connaissance, conservation, valorisation et promotion des collections;Conserva° Promo° Collect°;
SSA;BG;175-03-20;;;Musées et établissements nationaux;Musées & Ets Nat;
ACT;BG;175-04;;;Patrimoine archivistique;Pat archVQ;
SSA;BG;175-04-03;;;Recherche, connaissance, conservation, valorisation et promotion du patrimoine archivistique (CPER);Pat archVQ - valo CPER;
SSA;BG;175-04-04;;;Recherche, connaissance, conservation, valorisation et promotion du patrimoine archivistique (hors CPER);Pat archVQ - valo HCPER;
SSA;BG;175-04-10;;;Archives nationales;Archives nationales;
SSA;BG;175-04-11;;;Archives territoriales - Construction, aménagement et entretien;ArchV Terr Constr° & ent;
ACT;BG;175-08;;;Acquisition et enrichissement des collections publiques;Acquisi° et enrich collec;
SSA;BG;175-08-02;;;Enrichissement des collections publiques pour les musées;Enrich coll pubQ musées;
SSA;BG;175-08-05;;;Enrichissement des collections publiques pour les archives;Enrich coll pubQ archives;
SSA;BG;175-08-06;;;Enrichissement des collections publiques : patrimoine monumental et architectural;Enrich col pubQ Pat M & A;
SSA;BG;175-08-07;;;Fonds du patrimoine;Fonds du patrimoine;
ACT;BG;175-09;;;Patrimoine archéologique;Patrimoine archéologique;
SSA;BG;175-09-01;;;Recherche, connaissance et protection du patrimoine archéologique (Hors CPER);Rech pro Pat archéo HCPER;
SSA;BG;175-09-02;;;Promotion et diffusion du patrimoine archéologique (hors CPER);Prom dif Pat archéo HCPER;
SSA;BG;175-09-03;;;Recherche, connaissance et protection du patrimoine archéologique (CPER);Rech prot Pat archéo CPER;
SSA;BG;175-09-04;;;Promotion et diffusion du patrimoine archéologique (CPER);Prom diff Pat archéo CPER;
SSA;BG;175-09-05;;;Financement des opérations d'archéologie préventive;Archéologie préventive;
PGM;BG;224;CB;02;Soutien aux politiques du ministère de la culture;Soutien&pol.cult;
ACT;BG;224-06;;;Action culturelle internationale;Action culturelle Int;
SSA;BG;224-06-02;;;Promotion de la création et des industries culturelles françaises à l'étranger;Créa & ind cul F à l'étra;
SSA;BG;224-06-03;;;Coopération technique culturelle, communautaire et multilatérale;Coop tech cult commR mult;
SSA;BG;224-06-04;;;Diffusion des cultures étrangères et accueil des professionnels et des artistes étrangers;Diff cult étran & accueil;
ACT;BG;224-07;;;Fonctions de soutien du ministère;Fonct° soutien ministère;
SSA;BG;224-07-01;;;Fonctions immobilières;Fonctions immobilières;
SSA;BG;224-07-06;;;Fonction formation;Fonction formation;
SSA;BG;224-07-07;;;Fonction communication;Fonction communication;
SSA;BG;224-07-08;;;Etudes et prospective;Etudes et prospective;
SSA;BG;224-07-10;;;Fonctions logistiques;Fonctions logistiques;
SSA;BG;224-07-11;;;Action sociale;Action sociale;
SSA;BG;224-07-12;;;Dépenses de personnel, gratification des stagiaires et remboursement de mise à disposition de personnel;Dép personnel, stagR, MAD;
SSA;BG;224-07-13;;;Fonction informatique;Fonction informatique;
PGM;BG;361;CB;02;Transmission des savoirs et démocratisation de la culture;TranSavoirs&DemocCulture;
ACT;BG;361-01;;;Soutien aux établissements d'enseignement supérieur et insertion professionnelle;Soutien Ets ens sup;
